Kyden139,Aaru's Awakening,https://psnprofiles.com/trophies/3353-aarus-awakening/Kyden139,100%,30 Apr 2015 2:07:58 AM,30 Apr 2017 9:43:59 PM,2,0,0,19,36,1
HellCU3ED,Apotheon,https://psnprofiles.com/trophies/3321-apotheon/HellCU3ED,Platinum,27 Jun 2016 10:42:54 PM,30 Apr 2017 8:46:30 PM,0,10,2,22,3,36
FeXcEz-_-Sk1lLzz,Assassin's Creed Brotherhood,https://psnprofiles.com/trophies/448-assassins-creed-brotherhood/FeXcEz-_-Sk1lLzz,Platinum,15 Sep 2011 4:25:45 PM,30 Apr 2017 9:49:29 PM,5,7,15,5,23,44
tuffmuff,Another World,https://psnprofiles.com/trophies/2677-another-world/tuffmuff,100%,10 Jul 2014 2:02:52 PM,30 Apr 2017 10:13:28 PM,2,9,20,8,10,36
tuffmuff,After Burner Climax,https://psnprofiles.com/trophies/298-after-burner-climax/tuffmuff,100%,23 Apr 2010 3:51:09 AM,30 Apr 2017 5:36:05 PM,7,0,7,13,44,56
tuffmuff,Jurassic Park: The Cavalry,https://psnprofiles.com/trophies/1188-jurassic-park-the-cavalry/tuffmuff,100%,22 Nov 2011 1:12:42 AM,30 Apr 2017 5:27:36 AM,5,5,8,4,14,54
tuffmuff,Jurassic Park: The Depths,https://psnprofiles.com/trophies/1189-jurassic-park-the-depths/tuffmuff,100%,23 Nov 2011 4:46:24 PM,30 Apr 2017 6:45:45 PM,5,5,7,1,59,21
tuffmuff,Jurassic Park: The Survivors,https://psnprofiles.com/trophies/1190-jurassic-park-the-survivors/tuffmuff,100%,22 Apr 2012 3:33:39 PM,30 Apr 2017 8:11:40 PM,5,0,8,4,38,1
BinkUncia,Catherine,https://psnprofiles.com/trophies/1247-catherine/BinkUncia,Platinum,8 Jun 2013 6:41:29 PM,30 Apr 2017 10:32:35 PM,3,10,22,3,51,6
olsen77,Assassin's Creed Brotherhood,https://psnprofiles.com/trophies/448-assassins-creed-brotherhood/olsen77,Platinum,7 Oct 2011 2:43:53 AM,30 Apr 2017 9:12:15 PM,5,6,23,18,28,22
SylarTheNinja,Assassin's Creed Brotherhood,https://psnprofiles.com/trophies/448-assassins-creed-brotherhood/SylarTheNinja,Platinum,21 Jan 2011 6:46:56 PM,30 Apr 2017 8:35:25 PM,6,3,9,1,48,29
JayPBM,Final Horizon,https://psnprofiles.com/trophies/3216-final-horizon/JayPBM,100%,3 Dec 2014 8:33:47 AM,26 Apr 2017 7:51:03 AM,2,4,22,23,17,16
JayPBM,Table Top Racing: World Tour,https://psnprofiles.com/trophies/4694-table-top-racing-world-tour/JayPBM,Platinum,3 May 2016 7:05:50 PM,28 Apr 2017 5:13:11 AM,0,11,24,10,7,21
JayPBM,Vitamin Z,https://psnprofiles.com/trophies/3597-vitamin-z/JayPBM,100%,2 Jun 2015 2:57:04 AM,30 Apr 2017 2:03:49 PM,1,10,28,11,6,45
JayPBM,Dark Void,https://psnprofiles.com/trophies/199-dark-void/JayPBM,100%,7 May 2012 11:06:22 PM,30 Apr 2017 9:53:47 PM,4,11,22,22,47,25
JayPBM,Back to the Future - Episode 5: OUTATIME,https://psnprofiles.com/trophies/922-back-to-the-future-episode-5-outatime/JayPBM,100%,10 Dec 2016 11:39:55 PM,30 Apr 2017 10:58:39 PM,0,4,19,23,18,44
AstroFlibble,Prince of Persia,https://psnprofiles.com/trophies/26-prince-of-persia/AstroFlibble,Platinum,8 Mar 2009 8:10:13 PM,30 Apr 2017 11:03:46 PM,8,1,22,2,53,33
Blood_Velvet,Flower,https://psnprofiles.com/trophies/2252-flower/Blood_Velvet,100%,2 Mar 2014 1:12:59 AM,30 Apr 2017 2:25:25 AM,3,1,28,1,12,26
Blood_Velvet,Pac-Man Championship Edition DX,https://psnprofiles.com/trophies/559-pac-man-championship-edition-dx/Blood_Velvet,100%,10 Jul 2012 6:39:01 PM,30 Apr 2017 9:11:51 PM,4,9,20,2,32,50
Vapion,That Trivia Game,https://psnprofiles.com/trophies/2550-that-trivia-game/Vapion,100%,18 Oct 2014 7:37:41 PM,30 Apr 2017 10:08:49 PM,2,6,12,2,31,8
